id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
1	Anthoine, 1995	-10.303171531135034	-57.169862405001155	1	2618.087352145224	1	1	1	1	1	1	1
2	Clementel, 2002	-5.376406026791628	-38.35157091244827	1	2311.7702730416686	1	1	1	1	1	1	1
3	Luciano, 1997	-2.744575122532636	-51.25083464019082	1	2273.885632684207	1	1	1	1	1	1	1
4	Massart, 2007	-39.585088395383195	-18.82456357823132	1	2271.8310343517373	1	1	1	1	1	1	1
5	Buhan, 1997	-14.405425962539606	-43.6106506810102	1	2202.460475346497	1	1	1	1	1	1	1
6	Lourenço, 2007	-15.993048234114596	-7.204535465352501	1	2109.0648797862796	1	1	1	1	1	1	1
7	Pegon, 1997	-20.274410730795218	-55.540940889544274	1	2073.6438016200545	1	1	1	1	1	1	1
8	Cecchi, 2002	-9.747909544144445	-31.26261500535412	1	1999.1615219285536	1	1	1	1	1	1	1
9	Cluni, 2004	2.33423056108051	-41.3218386769953	1	1939.1209547268402	1	1	1	1	1	1	1
10	Massart, 2004	-27.243172566950477	-28.50528465358281	1	1939.1209547268402	1	1	1	1	1	1	1
11	Mistler, 2007	-18.079147823779863	-20.493903895228538	1	1860.1211632451643	1	1	1	1	1	1	1
12	Cecchi, 2002	-4.315498195569284	-23.049332332624054	1	1843.7249107500347	1	1	1	1	1	1	1
13	Addessi, 2010	-31.464917382190656	-40.38226711364132	1	1831.0984811993083	1	1	1	1	1	1	1
14	Cecchi, 2004	-13.381235760384985	-16.88447285581405	1	1800.4424377435905	1	1	1	1	1	1	1
15	Stefanou, 2008	-48.45023407612996	-36.81137412403237	1	1791.3523943186615	1	1	1	1	1	1	1
16	Lebée, 2011	41.63577049936731	52.30846283432703	1	1777.4188451080322	1	1	1	1	1	1	1
17	Salerno, 2009	-34.82918331030304	-26.576973932609736	1	1767.9210330089804	1	1	1	1	1	1	1
18	Lebée, 2012	64.69713878983457	57.144760028228234	1	1743.3915332396223	1	1	1	1	1	1	1
19	Mercatoris, 2009	-31.60566755675845	-6.156805132804067	1	1722.8909950702248	1	1	1	1	1	1	1
20	Lebée, 2011	46.42522949303162	54.298970524266	1	1712.322260137502	1	1	1	1	1	1	1
21	Cecchi, 2005	-5.700602674308414	-6.895928587925155	1	1712.322260137502	1	1	1	1	1	1	1
22	Cecchi, 2007	3.0529012389380767	-2.2227306821869206	1	1706.95361030665	1	1	1	1	1	1	1
23	Reccia	-28.622656845840346	-12.250084153952201	1	1655.8234127939609	1	1	1	1	1	1	1
24	Sab, 2003	-38.79567113216393	5.902911166507149	1	1631.244865652393	1	1	1	1	1	1	1
25	Lourenço, 2007	-15.38801781652737	2.3812454256605946	1	1624.8957035131766	1	1	1	1	1	1	1
26	Cecchi, 2004	-8.139925631942049	11.058211392725998	1	1624.8957035131766	1	1	1	1	1	1	1
27	Gusella, 2006	15.263780644016514	-36.65928719102219	1	1618.4593358594664	1	1	1	1	1	1	1
28	Calderini, 2006	-17.695557393039255	-29.707664660511185	1	1605.312989317557	1	1	1	1	1	1	1
29	Baraldi, 2015	-51.55455560748335	-21.74037786753421	1	1598.5965829806896	1	1	1	1	1	1	1
30	Cecchi, 2009	-1.296546360465582	-16.312365910678277	1	1570.691808823817	1	1	1	1	1	1	1
31	Cavalagli, 2011	11.112156504305347	-25.336026533863432	1	1556.057981250328	1	1	1	1	1	1	1
32	Kawa, 2008	-22.107451907928628	-42.75885769624733	1	1517.1622106703608	1	1	1	1	1	1	1
33	Baraldi, 2016	-38.7725652797532	-55.97998096313866	1	1508.937262649135	1	1	1	1	1	1	1
34	Rong	2.1223890991356207	-30.281655490976743	1	1405.1944209167389	1	1	1	1	1	1	1
35	Cecchi, 2009	18.23420268635047	-3.8408225795397666	1	1394.193493397181	1	1	1	1	1	1	1
36	Baraldi, 2015	-42.90478561042313	-42.22285320799865	1	1305.414746997928	1	1	1	1	1	1	1
37	Baraldi, 2014	-64.69235142115532	-35.48950661860887	1	1274.752034132989	1	1	1	1	1	1	1
38	Mathieu, 2012	-25.500035545460022	3.81584913053857	1	1201.1500369445457	1	1	1	1	1	1	1
39	Cecchi, 2006	4.463119886472667	6.1291782106402515	1	1094.1301880219514	1	1	1	1	1	1	1
40	Barbieri, 2007	13.686289736740878	-17.32535120347969	1	1094.1301880219514	1	1	1	1	1	1	1
41	Luciano, 2008	12.727974631160265	-49.31426031151358	1	999.9999999999999	1	1	1	1	1	1	1
